Time,Agriculture,Manufacturing,Construction,Services
1996,2%,19%,6%,69%
1997,2%,19%,6%,69%
1998,2%,19%,6%,69%
1999,2%,19%,6%,70%
2000,2%,19%,6%,70%
2001,2%,18%,6%,70%
2002,2%,18%,6%,70%
2003,2%,18%,6%,71%
2004,2%,17%,7%,71%
2005,2%,18%,7%,71%
2006,2%,18%,7%,70%
2007,2%,18%,6%,70%
2008,2%,18%,6%,71%
2009,2%,15%,6%,73%
2010,2%,17%,6%,73%
2011,2%,17%,5%,73%
2012,2%,17%,5%,73%
2013,2%,17%,5%,74%
2014,2%,17%,4%,74%
2015,2%,17%,4%,74%
2016,2%,17%,4%,74%
2017,2%,17%,4%,74%
2018,2%,17%,4%,74%
2019,2%,17%,4%,74%
2020,2%,16%,4%,74%
2021,2%,17%,5%,73%
2022,2%,17%,5%,74%
2023,2%,16%,6%,74%
